Acanthus,Almond,Abajo,abelia,beak,can,Abelia,abbottiae,neomexicanus,andrewsii,americana
Adder's-tongue,Cherry,abata,abobe,agoseris,beard,cueva,Abelmoschus,abitibiana,roetteri,bonnevillensis,quadrangulata,amphigena
Aloe,family,abelia,abrothallus,agrimony,bedstraw,cushion,Abies,acadiensis,cellulosa,medium,andina
Amaranth,Fern,Abert's,absconditella,airplant,belfry,gallina,Abietinella,acutiflora,sukaczewii,angustifolia
Araucaria,Gooseberry,abietenella,absonditella,albizzia,Bethlehem,hyssop,Abildgaardia,aequalis,aberrans,anserinum
Arum,Hat,abietinella,abutilon,alsinidendron,bindweed,lily,Abroma,aestivaliformis,abietinum,arcticus
Aster,Mangrove,aboriginal,acalypha,alsophila,brodiaea,mallow,Abronia,ajoensis,ablata,arcuifolia
Azolla,Mistletoe,Abrams',acanthus,amole,buckwheat,mariposa,Abrothallus,alaskanum,abortiva,arenaria
Balanophora,moss,abrothallus,acaulon,and,bush,Mary,Abrus,alata,abramsii,argentea
Banana,o'clock,abruptbeak,ackee,andreaeobryum,cabbage,mistletoe,Absconditella,algonquinensis,abrotanifolia,aspera
Barbados,Pipe,abrus,aconite,anemone,cactus,monkeyflower,Abutilon,alnea,absinthifolia,beeringianum
Barberry,Primrose,absconditella,acriopsis,angel,centaury,moss,Acacia,alpestris,absus,bernardina
Basella,Rush,absinthium,acroporium,angelica,cholla,orchid,Acaciella,alternifolium,abyssinicus,berryi
Bayberry,Tassel,Abyssinia,adenosma,apple,clover,paintbrush,Acaena,ambigua,acadiensis,bifida
Beech,Yew,Abyssinian,aenium,arnica,columbine,primrose,Acalypha,ananassa,acanthocarpa,bigelovii
Begonia,acacia,aeonium,arrowroot,comb,ramon,Acamptopappus,andrewsii,acaulis,borealis
Bellflower,Acadia,aerva,arum,Cruz,rue,Acanthocereus,anomala,accidens,callianthemus
Birch,acaena,African,aster,cryptantha,sierra,Acanthomintha,antipolitensis,achillaeoides,caput-medusae
Birthwort,acanthus,African-queen,ayenia,cueva,valley,Acanthospermum,aptera,achilleifolia,ceruminosa
Bittersweet,Acapulco,after,balm,de,weed,Acanthus,arctophila,acicularis,chamissonis
Borage,acaulon,afzelia,balsam,dodder,Acarospora,arcuatus,acrispum,dawsonii
,fevertree,danicus,suffruticosa,
,fevillea,danthoniae,suffulta,
,few-flower,danthonioides,suksdorfii,
,few-flowered,dao,sulcata,
,fewflower,daphnoides,sulcatum,
,fewflowered,darrovii,sulcatus,
,fewleaf,darrowi,superba,
,fewnerved,darwinii,svensonii,
,fewseed,dasyacantha,swartzii,
,fewseeded,dasyacanthus,sylvatica,
,fibraurea,dasyanthemum,sylvestris,
,fibrousroot,dasyanthus,synchaetum,
,fiddleleaf,dasycarpa,tabernaemontana,
,fiddleneck,dasycephala,tainanensis,
,fiddlewood,dasyclada,tainturieri,
,field,daubenmirei,tanacetiflorum,
,fierce,davallioides,tanacetifolia,
,fig,davidii,tananaicus,
,figleaf,davidsonii,taraxacifolia,
,Fiji,daviesiae,taxifolioides,
,Fijian,davisii,taxifolium,
,filiform,davuricum,tegetarius,
,filmy,davyi,tembloriensis,
,fimbry,dawsonii,tenella,
,fineflower,dealbata,tenellum,
,fineleaf,dealbatus,tener,
,finger,deamii,tenera,
,fingergrass,deanei,tenerrimus,
,fingerleaf,debeauxii,tenerum,
,fingertips,debequaeus,tenue,
,finlaysonia,debilis,tenuiflora,
,finschia,decandra,tenuifolia,
,fir,decangulare,tenuifolius,
,fire,decapetala,tenuiloba,
,fireberry,decaryi,tenuis,
,firebush,deciduidentata,tenuispica,
,firecracker,decipiens,tephrodes,
,firecrackerbush,declinata,teres,
,firethread,decolorella,terlinguensis,
,fireweed,decomposita,terminalis,
,Fischer,decora,ternarius,
,Fischer's,decoratum,terniflora,
,Fish,decorticans,ternipes,
,Fish-Grass,decorticata,terrestris,
,Fisher,decorum,tessellata,
,Fisher's,decumbens,tetonensis,
,fishgrass,decurrens,tetragona,
,fishhook,deeringiana,tetrahit,
,Fishlock's,deerratus,texana,
,fishtail,deflexa,texanum,
,fissidens,deflexum,texensis,
,fissure,deflexus,thalassius,
,Fitch's,deformis,tharpii,
,fitchia,degelii,thermale,
,five,degeneri,thermalis,
,fiveangle,deglupta,thermophilus,
,fiveangled,delamateri,thermopola,
,fivehorn,delegatensis,thibetica,
,fiveleaf,delevoyi,thinium,
,fivelobe,delicata,thominei,
,fivestamen,delicatula,thompsoniae,
,fivetooth,delicatulum,thompsonii,
,fivewing,delisei,thorild-wulffii,
,flaccid,delphiniifolia,thornberi,
,flacourtia,delphiniifolium,thornei,
,Flagstaff,delticola,thurowii,
,flame,deltoidea,thymifolius,
,flaming,deltoides,tilesii,
,flamingo-lily,demareei,tiliaefolia,
,flannelbush,demersum,timorum,
,flat-spiked,demetrii,tinctoria,
,flat-top,deminuta,tinctus,
,flatbud,demissa,tiogana,
,flatcrown,dendroides,titi,
,flatface,densa,toanus,
,flatglobe,densiflora,toiyabense,
,flatleaf,densiflorum,tolmiei,
,flatsedge,densifolia,tolsteadii,
,flatseed,densifolium,tomentella,
,flatspike,dentata,tomentellum,
,flatspine,dentatasquamata,tomentosa,
,flatstem,dentatum,tonsa,
,flattened,dentatus,toonas,
,flavoparmelia,denticulata,torminaloides,
,flavopunctelia,denticulatum,torreyana,
,flax,dentoniae,torreyanum,
,flaxleaf,denudata,torreyi,
,fleabane,denudatum,tortilis,
,flemingia,deodara,tortuosa,
,fleshcolor,depauperata,toumeyana,
,fleshy,depauperatum,trachycaulus,
,Flett's,deppeana,trachygonum,
,flexible,depressa,tracyi,
,flexile,depressus,transversa,
,flickingeria,deschampsioides,treleasei,
,flindersia,desereticum,treleasii,
,Flint,desereticus,tribuloides,
,floating,deserti,triceps,
,Flodman's,deserticola,trichocalyx,
,floerkea,desertorum,trichocarpum,
,flor,desiccatum,trichocarpus,
,florestina,desmantha,trichodes,
,Florida,desmettiana,trichomanes,
,florist's,desmondensis,trichopes,
,Florke's,desolata,trichophyllum,
,flower,desolatica,trichopodus,
,flowering,desperatus,tricolor,
,Flowers',desueta,tridactylosa,
,flymallow,desvauxii,tridens,
,flypoison,deterior,tridentata,
,Flyr's,detonsa,trifida,
,flyweed,detritalis,trifidum,
,Fogg's,deweyana,trifidus,
,folded,diabolense,triflorum,
,foldedleaf,diabolicum,trifoliata,
,foldwing,diacapsis,triglochidiatus,
,fonio,diagonalis,trigynum,
,fontanesia,dialyta,triligulata,
,fontinalis,diamarta,trilobata,
,fool's,diandra,trilobum,
,foolproofplant,diandrum,trilocularis,
,foothill,diandrus,tripartita,
,forage,dianthifolia,triphyllum,
,Forbes's,diaphana,triquetrus,
,forchhammeria,diaphanus,trisperma,
,forest,diatomaceum,triste,
,forest-oak,diatrypa,tristulis,
,forked,dichlamydeum,truei,
,forkedfern,dichotoma,trumbullensis,
,forkleaf,dichotomum,truncata,
,forsstroemia,dichromophloia,truxillense,
,forsteronia,diclinum,tsugense,
,forsythia,dictuon,tsukushiensis,
,Fort,didactyla,tuberculosa,
,Fortuna,didyma,tuberosa,
,Fosberg's,didymocarpus,tuberosus,
,Fossil,didymus,tulae,
,fountain,diegensis,tumescens,
,four-angle,diegoense,turbinata,
,fourangle,dielsianus,turbinatum,
,fourleaf,dielsii,turgida,
,fourpart,dietrichiana,tweedyi,
,fourpetal,difformis,twisselmannii,
,fourspike,diffracta,uintahensis,
,fourstamen,diffusa,uliginosa,
,fourwing,diffusella,ulmaria,
,fowl,diffusum,ultramafica,
,fox,diffusus,umbellata,
,foxglove,digastrum,umbellatacapitata,
,foxtail,digitalis,umbellatum,
,fragile,digitata,umbilicatum,
,fragilegrass,digitatum,unalaschcensis,
,fragrant,digitatus,uncialis,
,Franciscan,diguetii,uncinata,
,Frank's,digyna,uncinatum,
,frankincense,dilatata,uncinatus,
,Franklin,diluta,undulatum,
,Franklin's,dimidiata,ungulatus,
,Frankton's,diminutivum,unifarium,
,Fraser,dimorpha,unshiu,
,Fraser's,dimorphoclada,uralensis,
,fraternal,dinteri,urbanii,
,Fraziers,dioica,ursina,
,freckled,dioicus,ursinum,
,Frederick's,dipetala,urticifolia,
,Fredonia,diphasia,uruguayensis,
,Freeman,diphylla,utahense,
,freesia,diphyodes,utahensis,
,Fremont,diplacia,vaccinioides,
,Fremont's,diplocarpum,vaginatum,
,French,diplostephioides,valesiaca,
,French's,dipsaceus,validum,
,Frenchman's,diptera,vallicola,
,Fresno,disciformis,variabilis,
,freycinetia,discoidalis,variegatum,
,Fries',discoidea,variegatus,
,frightful,discolor,vaseyana,
,fringed,disjuncta,vaseyi,
,fringeleaf,disjunctum,vehiculus,
,fringetree,dispar,vellaeus,
,Frisco,disparipilus,velutinum,
,fritillary,disperma,velutinus,
,Front,dispersa,venusta,
,Frost's,dispersula,venustum,
,frosted,dispessa,venustus,
,froststem,dissecta,verna,
,frosty,dissectum,vernicosa,
,fruit,disserpens,vernum,
,fryingpans,dissitiflora,veronicifolia,
,fryxellwort,dissona,verrucosa,
,fuchsia,distachya,versicolor,
,Fuckel's,distachyon,verticillata,
,Fuller's,distachyos,verum,
,fullstem,distans,vesca,
,Fulton,distendens,vespertinus,
,fumewort,distenta,vestita,
,fumitory,disticha,vestitus,
,funaria,distichophylla,vestus,
,Funck's,distichum,vexillifera,
,Funeral,distincta,vexilliflexus,
,funnel,distinctus,victorinii,
,funtumia,distortum,vierhapperi,
,furcraea,distortus,vigens,
,fuschia,distyla,vigulus,
,fuscidea,diurnum,villosa,
,fuzzy,divaricata,villosissima,
,fuzzyflower,divaricatissima,villosissimum,
,Fynbos,divaricatum,villosum,
,Gabilan,divaricatus,villosus,
,gadellia,divergens,viminale,
,Gadsden,diversicolor,viminea,
,Gaga,diversifolia,vimineum,
,gagea,diversifolium,vineale,
,galactic,diversifolius,vinealis,
,galax,diversiglumis,vineatus,
,galbanum,diversinervis,vineum,
,galearis,diversispicula,violaceum,
,galen,dives,virens,
,galenia,divisa,virescens,
,Galisteo,divulsa,virgata,
,gallan,dodgei,virgatus,
,gallant,dodonaea,virginiana,
,Gallic,dodonaei,virginianum,
,gallion,doellingeri,virginica,
,gamba-pea,dolichocarpa,virginicus,
,Gambel's,dolichophylla,viridiflorus,
,Gambian,dolichopoda,viridis,
,gamón-blanco,dolichostachyus,viridula,
,Gander's,dolosa,viscida,
,gaping,domingense,viscidiflorus,
,Garber's,domingensis,viscidula,
,garberia,dominicense,viscidulus,
,garcinia,dominii,viscidum,
,garden,don-hensonii,viscidus,
,gardenia,donax,viscosa,
,Gardner's,donelliana,viscosissimum,
,garland-flower,donianum,vitreus,
,garlic,donianus,vittatum,
,Garrett's,donnelli,vivida,
,Gaspé,donnellii,vivipara,
,gasplant,doratoxylon,viviparoidea,
,Gasquet,dorrigoensis,viviparum,
,Gate,douglasiana,vreelandii,
,gaussia,douglasii,vulcanica,
,Gaviota,douglassii,vulgare,
,gaymallow,draba,vulgaris,
,gazania,drabelliformis,vulnerata,
,geheebia,draco,vulpinoidea,
,Geiser's,dracontium,wahuensis,
,Genevieve's,dracunculoides,waihiae,
,genipa,dracunculus,waihoiensis,
,gentian,drepanomorpha,waikoluensis,
,Gentner's,drobovii,wakamatsui,
,Gentry's,drummondii,walkerae,
,geocarpon,drupacea,walkeri,
,geophila,dryina,walpolei,
,Georgia,drymarioides,warnerense,
,georgiaplume,drymeja,warnockii,
,Geraldton,dubia,watsonii,
,geranium,dubium,weedii,
,geraniumleaf,dubius,weedinii,
,Gerard,duchesnensis,weiserensis,
,German-madwort,dudleyana,welshii,
,Gerrard's,dudleyi,wenatchicum,
,gesneria,dulcis,wenigeri,
,Geyer's,dumetorum,westonii,
,Geysers,dumosa,wetherillii,
,ghanja,dumosum,wheelerensis,
,Gholson's,dunbariae,wheeleriana,
,ghost,duncanii,whitneyi,
,gia,dundasii,wiensii,
,giant,dunnii,wieslanderi,
,Gibbs',durandoi,wilkesiana,
,Gibson's,durietzii,williamsiae,
,gidgee,duriuscula,williamsii,
,gigantochloa,dutillyanum,wilsonii,
,Gila,duttonii,winkleri,
,gilia,duvalliorum,wirtgenii,
,Gilman's,dwyeri,woodii,
,gingerleaf,eamesii,wootonii,
,ginkgo,eardleyae,woronowii,
,ginoria,earhartii,wrightii,
,ginseng,earlei,wyomingensis,
,giradol,eastwoodiae,xanthum,
,gisekia,eastwoodianum,xanti,
,glacial,eatonii,xantiana,
,glacier,ebano,xeranthemoides,
,glade,ebbanoensis,xericensis,
,Glades,ebenea,yadonii,
,gladiator,ebeneus,yageri,
,gladiolus,ebenum,yosemitana,
,gland,ebenus,yuccanus,
,glandleaf,eboracensis,yuccifolium,
,glandular,ebracteatus,yukonensis,
,glassy,eburnea,yumae,
,glaucous,ecastaphyllum,zacaensis,
,glaucus,echinata,zapatanus,
,glebionis,echinatum,zephyra,
,glechoma,echinatus,zionensis,
,Glenwood,echinella,zionis,
,globe,echinocarpa,zonatum,
,globefruit,echinocephala,zschackii,
,globethistle,echinochloidea,
,globulinella,echinus,
,glochidion,echioides,
,glomerate,echo,
,glory,eckfeldtii,
,glory-of-the-snow,ecmocyna,
,glory-pea,edentula,
,glorybower,edlundiae,
,glossostigma,edmundsii,
,glossy,edule,
,glossyleaf,edulis,
,glowing,edwardsiana,
,gloxinia,edwardsii,
,gluta,efflorescens,
,glycine,effusa,
,glycosmis,effusum,
,glyphis,egedii,
,glypholecia,egensis,
,glyptopleura,egenula,
,Gmelin's,egenuloidea,
,gmelina,eggersiana,
,goatbush,eggersii,
,goatgrass,egglestonii,
,goatweed,ehrenbergiana,
,goatwood,ehrenbergii,
,Godfrey's,eisenii,
,Goebel's,elachista,
,gold,elaeocarpa,
,gold-dust,elaphroxylon,
,gold-of-pleasure,elastica,
,goldblotch,elasticus,
,golden,elata,
,golden-yarrow,elaterium,
,goldenaster,elatior,
,goldenbowl,elatius,
,goldenbush,elatum,
,goldencarpet,elatus,
,goldeneggs,eleanoriae,
,goldenfleece,eleeleensis,
,goldenflower,elegans,
,goldenfruit,elegantior,
,goldenhead,elegantula,
,goldenleaf,elegantulus,
,goldenmane,elemifera,
,goldenrain,elephantipes,
,goldenstar,eleusinoides,
,goldenthread,elevata,
,goldentop,elizae,
,goldentuft,elliottiana,
,goldenwave,elliottii,
,Goldie's,elliptica,
,goldilocks,ellipticum,
,Goldman's,elmendorfii,
,goldshower,elmeri,
,goldthread,elongata,
,golf,elongaticolle,
,good,elongatum,
,Goodding's,eludens,
,Goodman's,eluteria,
,Goodrich,elwesii,
,Goose,elymoides,
,gooseberry,elynoides,
,goosefoot,emarginata,
,goosegrass,embolostegia,
,gophertail,emerus,
,gopherweed,emeryense,
,Gordon's,emetocathartica,
,gorge,eminens,
,gorgojo,emoryanus,
,Gorman's,emoryi,
,gourd,emskoetteriana,
,Gourka,enderbyensis,
,goutweed,endivia,
,governor's,endochroma,
,graceful,endopterus,
,Graham's,engelmanniana,
,Grahm's,engelmannii,
,grainfield,engleriana,
,grama,enneacanthus,
,Grampians,enneandra,
,grand,enquistii,
,grandleaf,ensiformis,
,granite,entrerianus,
,grannybush,ephedroides,
,Grant's,ephemeroides,
,Grants,epicarpinea,
,granule,epigaea,
,granulose,epigaeus,
,grape,epigeios,
,grapefern,epiglottis,
,grapefruit,epilinum,
,grapeleaf,epilis,
,grass,epilobioides,
,grass-like,epimela,
,grassflower,epipastoides,
,grassland,epiphylla,
,grassleaf,epiphyscia,
,grassnut,epiphyta,
,grasspink,epipolium,
,grassyslope,epipolytropa,
,gravel,episcopus,
,gravelbar,epithallina,
,gray,epithymoides,
,gray-box,epithymum,
,Gray's,epixantha,
,graybeard,equisetifolia,
,graygreen,equisetina,
,grayhairy,equisetoides,
,grayleaf,equitans,
,greasebush,eragrostis,
,great,erba-rotta,
,greater,erecta,
,Grecian,erecticaulis,
,Gredin's,erectifolium,
,Greek,erectocentrus,
,Greeley,erectum,
,green,erectus,
,green-flower,eremaea,
,greenbright,eremicola,
,Greene,eremicum,
,Greene's,eremicus,
,greeneyes,eremiticus,
,greenflower,eremitopetalum,
,greenfruit,eremobius,
,greenheart,eremophila,
,greenhorn,eriantha,
,Greenland,erianthoides,
,greenleaf,erianthum,
,greensheath,ericetorum,
,greenstar,ericifolia,
,greenstem,ericifolium,
,greenstripe,ericoides,
,greensword,erinacea,
,greentinge,erinaceum,
,greentwig,eriocarpa,
,greenwhite,eriocentra,
,Greenwood's,erioloba,
,Gregg's,eriophora,
,gregorywood,eriophylla,
,Greville's,eriopoda,
,grey-birch,eriosolenus,
,greygreen,eriospermum,
,Griffin's,eriostachya,
,Griffith's,ernodeoides,
,Griffiths',erosa,
,grimmia,erosulum,
,Grisebach's,erosum,
,groovenut,ertterae,
,groovestem,erubescens,
,ground,erucago,
,ground-crescent,eruciformis,
,groundcone,erucoides,
,groundcover,erupta,
,groundnut,eryngiifolia,
,groundplum,erythraea,
,groundsmoke,erythrocarpa,
,Grouse,erythrocorys,
,grove,erythroloma,
,grugru,erythronema,
,grumichama,erythropoda,
,Grundlach's,erythrorhizos,
,Guadalupe,erythrorrhizon,
,Guadeloupe,erythroxyli,
,guajillo,escallonoides,
,Guam,eschscholtziana,
,guapa,eschscholtzianus,
,guar,eschscholtzii,
,guara,esculenta,
,guard,esculentum,
,guasabara,esculentus,
,Guatemalan,esenbeckiana,
,guayabota,eskia,
,Guayama,esmeraldense,
,Guepin's,esorediosa,
,Guiana,estremenae,
,guilarte,estrophiolata,
,Guinea,esula,
,gulch,etonia,
,Gulf,eucalyptoides,
,gum,eucosmus,
,gumbo,eudesmioides,
,gumhar,eugenioides,
,gummy,eugyra,
,Gunnison,eupatoria,
,Gunnison's,eupatorioides,
,gunsight,euphrasiifolia,
,Gurney's,eurekensis,
,Guyanese,europaea,
,gypsum,europaeus,
,gypsyflower,eurycarpa,
,ha'a,eurycarpus,
,ha'i,eurylobus,
,hackberry,eustegia,
,hacksaw,evansii,
,Hagen's,evecta,
,haggarbush,evenia,
,haha,evermannii,
,haha'aiakamanu,evertii,
,hahala,ewartiana,
,Hahl's,exaltata,
,Haid's,exaltatum,
,hair-like,exaltatus,
,hairgrass,exarata,
,hairless,exaristata,
,hairpin,exasperata,
,hairsedge,excaecariae,
,hairstalk,excavata,
,hairy,excavatus,
,hairy-fruit,excedens,
,hairy-lemma,excelsa,
,hairy-pod,excelsior,
,hairybroom,excisum,
,hairyflower,exigua,
,hairyfruit,exiguum,
,hairyseed,exilifolium,
,hairysheath,exilis,
,hairystem,eximia,
,hairytwig,eximius,
,Haitian,expansa,
,halberdleaf,expansum,
,Haleakala,exsecuta,
,halfmoon,exserta,
,Hall's,exsiccata,
,Haller's,exstipulata,
,Hamakua,extensa,
,hame,extracorticata,
,Hamilton's,extraria,
,hammer,extremiorientalis,
,hammock,exunguiculata,
,Hammond's,fadyenia,
,Hampe's,fagaroides,
,Hampton,fairchildiana,
,Hana,fajardensis,
,Hanbury's,falcata,
,hand,falcatoria,
,handsome,falcatum,
,hanging,falcatus,
,hangingpod,falcautla,
,Hansen's,falcifolium,
,hapu'u,falcifructa,
,harbinger,fallacina,
,Harbison's,fallax,
,hard,farctum,
,Hardham's,fargesii,
,hardheads,farinacea,
,hardstem,farinosa,
,hardy,farnesiana,
,hare's,farreri,
,harebell,fasciata,
,haresfoot,fasciculare,
,Harford's,fascicularis,
,harlequin,fasciculata,
,harlequinbush,fasciculatum,
,Harold's,fasciculatus,
,Harper's,fasciolum,
,Harrington's,fassettii,
,Harris',fassoglensis,
,Harrison's,fastigata,
,harsh,fastigiata,
,Hart's,fastigiatum,
,Hartweg's,fatmensis,
,harvest,fatua,
,harvestbells,fauriei,
,harvestlice,feayi,
,Harvey's,fecunda,
,Harwood's,fecundum,
,haspan,feei,
,Hasse's,feensis,
,Hassler's,felix,
,Hatushima's,fendleri,
,Hausknecht's,fendlerianus,
,Haussknecht's,fennica,
,Havana,fenzliana,
,Havard's,feracissima,
,Hawai'i,fernaldiana,
,hawk's,fernaldii,
,hawksbeard,ferox,
,hawkweed,ferrea,
,hawkweedleaf,ferripilosa,
,Haworth's,ferrisiae,
,hawthorn,ferruginascens,
,hay,ferruginea,
,Hayden's,ferrugineofusca,
,hayscented,ferulifolia,
,hazel,festucacea,
,hazelnut,feta,
,head,fibrillum,
,headachevine,fibrosa,
,heal,fibrosus,
,healing,ficifolia,
,Hearst,ficifolium,
,Hearst's,ficifolius,
,heart,ficoidea,
,heartleaf,filagineus,
,hearts,filaginifolia,
,heartscale,filicaulis,
,heartseed,filicinum,
,heartsepal,filicinus,
,heath,filiculoides,
,heath-leaf,filifolia,
,heather,filifolium,
,heatloving,filifolius,
,heavy,filiforme,
,heavyfruit,filiformis,
,Heckard's,filipendulina,
,hedge,filipes,
,hedgehog,filix-femina,
,hedgerow,filix-mas,
,Heermann's,fimbriata,
,Heim's,fimbriatum,
,Heimburger's,fimbriatus,
,Heinemann's,finkii,
,helecho,firma,
,Heliograph,fischeri,
,helleborine,fischerianum,
,Heller's,fisheri,
,helmet,fishlockii,
,hemlock,fissa,
,hemlockparsley,fissifolius,
,hemp,fissuratus,
,hempnettle,fissuricola,
,hen's,fissurina,
,Henderson's,fistula,
,henequen,fistulosa,
,Henry,fistulosum,
,Henson's,fistulosus,
,Hepburn's,flabellata,
,Hepp's,flabellifer,
,herb,flabellifolia,
,herbert,flabellifolius,
,Herbst's,flabelliformis,
,hermaphrodite,flabellulatum,
,hermit,flacca,
,herniaria-leaf,flaccida,
,Hess',flaccidum,
,Hesse's,flaccidus,
,Hester's,flaccosperma,
,Heufler's,fladnizensis,
,hians,flagellare,
,hicaquillo,flagellaris,
,Hickman's,flagellifera,
,hidden,flagelliformis,
,hiddenpetal,flammula,
,hideseed,flava,
,hierba,flavens,
,Higgins',flaventior,
,high-climbing,flavescens,
,higuerito,flavicans,
,higuero,flavicomus,
,Hilend's,flavida,
,Hilgard's,flavidus,
,Hill,flavocincta,
,Hill's,flavoculata,
,Hillebrand's,flavogranulosa,
,Hillegrand's,flavogrisea,
,Hillman's,flavopunctata,
,hillside,flavorubescens,
,hilly,flavovirescens,
,hillyhock,flavula,
,Himalayan,flavum,
,hinahina,flavus,
,Hinckley's,fletcheriana,
,hinoki,flettii,
,hippo,flexicaule,
,Hirst's,flexicaulis,
,hirsute,flexispora,
,hispanic,flexuosa,
,Hispaniolan,flexuosus,
,hispid,flocktoniae,
,Hitchcock's,flodmanii,
,hoary,floerkeana,
,hoaryleaf,floerkei,
,Hobdy's,floribunda,
,Hoffman's,floribundum,
,Hoffmann's,floribundus,
,hogpeanut,florida,
,hogwort,floridana,
,Holboell's,floridanum,
,holio,floridanus,
,hollowheart,floridense,
,hollyberry,floridensis,
,hollyfern,floridus,
,hollyhock,flowersiana,
,hollyleaf,fluctuans,
,Holm,fluitans,
,Holm's,fluminensis,
,Holmes',fluviatile,
,holy,fluviatilis,
,Holzinger's,foecunda,
,honewort,foemina,
,honeycombhead,foeniculum,
,honeylocust,foetida,
,honeyvine,foetidissima,
,honeywort,foetidum,
,Hong,foggii,
,Honolulu,foliolosa,
,Hood,foliolosus,
,Hood's,foliosa,
,hooded,foliosum,
,hook-leaf,foliosus,
,Hooker,folliculata,
,Hooker's,fontanum,
,hooky,fontanus,
,Hoover's,fontinale,
,hop,forbesiae,
,hophead,forbesii,
,Hopi,forcipigera,
,Hoppner's,forficata,
,horehound,formanii,
,horizontal,formosa,
,horn,formosana,
,Horn's,formosissimus,
,hornbeam,formosum,
,horned,forrestiana,
,Hornemann's,forskaolii,
,hornpoppy,fortunei,
,hornwort,fosbergii,
,horrid,fourcroydes,
,horse,foveolata,
,horsebalm,foveolatus,
,horsefly's,fracta,
,horseflyweed,fragile,
,horsehair,fragilifolium,
,horseradish,fragilis,
,horsetail,fragrans,
,horseweed,franchetii,
,host,franciscana,
,hot,franciscanum,
,hottentot,francisci,
,hottentot-bread,frankii,
,Houghton's,franklinii,
,hound's,franserioides,
,Howard's,fraseri,
,Howe's,fraserianus,
,Howell's,fraterna,
,Huachuca,fraudans,
,Huber's,fraxinea,
,Hubricht's,fraxinifolius,
,huckleberry,fraxinoides,
,Hudson,fredericii,
,hueso,fremontii,
,huisache,frenchii,
,Hulten's,frereana,
,hulumoa,fresnensis,
,Humboldt,freycinetioides,
,Humboldt's,friabilis,
,hummingbird,friesiana,
,Hungarian,friesii,
,Huntsville,frigida,
,Huon,frigidum,
,Hupeh,frigidus,
,hupilo,frondosa,
,hurricanegrass,frondosus,
,hyacinth,frostii,
,hyacinth-flower,fructicosa,
,hyacinth-orchid,frumentacea,
,hybrid,frustrata,
,Hycrest',frutescens,
,hyssopleaf,frutex,
,Ibapah,fruticetorum,
,Iberian,fruticosa,
,ibex,fruticosum,
,Idaho,fruticulosa,
,Idria,fruticulosus,
,ie'ie,fucata,
,Igniar's,fucatus,
,iguana,fuckelii,
,ilama,fugatei,
,ilang-ilang,fugax,
,ilihia,fuirenoides,
,Illinois,fulgens,
,imbricate,fulgida,
,immersed,fuligineus,
,imperfect,fuliginosa,
,imperial,fulleriana,
,Imshaug's,fullonum,
,incense,fulva,
,incised,fulvella,
,incline,fulvocanescens,
,Indian,fulvum,
,Indian-physic,fulvus,
,Indian's,funckii,
,Indianhemp,funebris,
,Indiantree,funerea,
,Indonesian,funereus,
,inflated,fungosa,
,inflatedscale,funifera,
,inkbush,furcata,
,inland,furcatum,
,interior,furcatus,
,intermediate,furcellata,
,Intermountain,furfuracea,
,intestine,furfuraceum,
,intoxicating,furtiva,
,Inyo,fusca,
,iodinebush,fuscata,
,Ione,fuscatum,
,Iowa,fuscescens,
,ipecac,fuscoatra,
,Iranian,fuscolutea,
,Irion,fuscovirens,
,iris-flowered,fuscus,
,Irish,fusiforme,
,ironweed,fusiformis,
,ironwood,gabilanensis,
,Isely's,gabrielensis,
,island,gaditana,
,islandthicket,galactioides,
,Isle-of-Pines,galactitella,
,Italian,galactophylla,
,itol,galanga,
,ivy,galbineum,
,ivyleaf,galeata,
,Iwarancusa,galegiformis,
,ixbut,galetorum,
,jaboncillo,gallica,
,Jack,gallicomontanum,
,Jack's,gallicum,
,jackass,galpinii,
,jackbean,gambelianus,
,jackfruit,gamophylla,
,Jackson,ganderi,
,jackswitch,gangetica,
,Jacob's,gangeticum,
,Jacumba,garberi,
,jade,gardenii,
,Jaeger's,gardneri,
,jaggery,garganica,
,jagua,garnotiana,
,jaguey,garrettii,
,Jakutsk,gasipaes,
,Jamaica,gaskelliana,
,Jamaican,gattingeri,
,James',gaudichaudianum,
,Japanese,gaudichaudii,
,jarrah,gaudinii,
,Java,gautii,
,Javanese,gayana,
,javelina,gayanus,
,Jaynes,gazensis,
,jelly,geiseri,
,jelutong,gemmascens,
,Jenner's,gemmata,
,Jepson,gemmilucens,
,Jepson's,gemmiparum,
,Jersey,gemmiparus,
,Jerusalem,genevensis,
,jessamine,genevievana,
,Jesup's,geniculata,
,jeweled,geniculatum,
,jicama,geniculatus,
,jimbrush,genistifolia,
,jimsonweed,gentneri,
,jio,genuflexa,
,Job's,geogena,
,joe,geophila,
,Johansen's,georgiana,
,John,georgianum,
,Johnny,geraniifolia,
,johnny-nip,geraniifolium,
,Johnson's,gerardiana,
,Johnston's,gerardii,
,Johnstone,gerascanthus,
,jointed,germinans,
,jointfir,germinatum,
,jointtail,gerrardii,
,jointvetch,geyeri,
,Jolon,gholsonii,
,Jones,gibbosa,
,Jones',gibbsii,
,Jonesville,giffardii,
,jopoy,gigantea,
,Joseph's-coat,giganteum,
,Jost,giganteus,
,joyweed,gigas,
,Judas-tree,gilense,
,July,gilensis,
,jumping,gilesii,
,jumpseed,gilioides,
,junco,gilliesii,
,Jungermann's,gillii,
,jungle,gilmanii,
,junior,gilviflorus,
,juniper,ginnala,
,Juratzk's,girardii,
